player_a,player_b,elo_points_a,elo_points_b,h2h_wins_a,h2h_wins_b,last5_winrate_a,last5_winrate_b,surface_winrate_a,surface_winrate_b,winrate_a,winrate_b,result
Alexander Zverev,Arthur Fils,2070,1954,3.00,2.00,0.8,0.6,0.79,0.68,0.76,0.64,1
Lorenzo Musetti,Daniil Medvedev,1999,2002,0.00,2.00,0.8,0.8,0.82,0.69,0.71,0.63,1
Casper Ruud,Alexander Bublik,1988,1786,6.00,1.00,1.00,0.8,0.81,0.59,0.66,0.44,1
Francisco Cerundolo,Jakub Mensik,1950,1951,1.00,0.00,0.8,0.8,0.73,0.64,0.63,0.61,1
Carlos Alcaraz,Karen Khachanov,2166,1892,4.00,0.00,0.8,0.6,0.92,0.58,0.83,0.55,1
Corentin Moutet,Holger Rune,1726,1968,2.00,1.00,0.6,0.8,0.52,0.65,0.51,0.65,1
Jannik Sinner,Francisco Cerundolo,2210,1950,2.00,2.00,1.00,0.8,0.89,0.73,0.93,0.63,1
Tommy Paul,Alex De Minaur,1980,1999,0.00,5.00,0.8,0.8,0.75,0.72,0.72,0.7,1
Nikoloz Basilashvili,Albert Ramos,1618,1573,3.00,0.00,0.2,0.8,0.56,0.5,0.6,0.49,1
Taro Daniel,Pierre Hugues Herbert,1583,1652,1.00,0.00,0.00,0.2,0.17,0.5,0.41,0.53,0
Jaume Munar,Casper Ruud,1729,1988,1.00,5.00,0.6,1.00,0.52,0.81,0.5,0.66,0
Jack Draper,Carlos Alcaraz,2085,2166,2.00,2.00,0.8,0.8,0.67,0.92,0.74,0.83,0
Bernabe Zapata Miralles,Quentin Halys,1487,1760,0.00,0.00,0.80,0.2,0.49,0.60,0.46,0.64,0
Pavel Kotov,Mikhail Kukushkin,1623,1583,0.00,0.00,0.20,0.40,0.39,0.64,0.50,0.55,0
Jakub Mensik,Hubert Hurkacz,1951,1915,0.00,1.00,0.80,0.60,0.64,0.75,0.61,0.60,0
Brandon Nakashima,Lorenzo Musetti,1835,1999,1.00,1.00,0.60,0.8,0.45,0.82,0.57,0.71,0
Sebastian Ofner,Francisco Cerundolo,1673,1950,0.00,2.00,0.80,0.80,0.59,0.73,0.56,0.63,0
Sebastian Korda,Jaume Munar,1884,1729,1.00,0.00,0.60,0.40,0.50,0.52,0.63,0.5,0
Marcos Giron,Hubert Hurkacz,1834,1915,0.00,3.00,0.60,0.60,0.33,0.75,0.55,0.60,0
Jakub Mensik,Fabian Marozsan,1951,1800,0.00,0.00,0.80,0.60,0.64,0.53,0.61,0.46,1
Alexander Zverev,Lorenzo Musetti,2070,1999,1.00,2.00,0.80,0.80,0.79,0.82,0.76,0.71,0
Tommy Paul,Tomas Machac,1980,1944,1.00,1.00,0.8,0.40,0.75,0.56,0.72,0.61,1
Hugo Dellien,Alex De Minaur,1634,1999,0.00,2.00,0.60,0.60,0.66,0.72,0.65,0.7,0
Jack Draper,Vit Kopriva,2085,1705,1.00,0.00,0.80,0.8,0.67,0.67,0.74,0.68,1
Francesco Passaro,Karen Khachanov,1672,1892,0.00,0.00,0.80,0.60,0.69,0.58,0.64,0.55,0
Carlos Alcaraz,Laslo Djere,2166,1795,2.00,0.00,0.80,0.60,0.83,0.71,0.8,0.63,1
Alexei Popyrin,Daniil Medvedev,1827,2002,1.00,4.00,0.40,0.80,0.43,0.69,0.52,0.63,0
Arthur Fils,Stefanos Tsitsipas,1954,1957,3.00,0.00,0.60,0.60,0.68,0.68,0.64,0.62,1
Vilius Gaubas,Alexander Zverev,1600,2070,0.00,0.00,0.80,0.80,0.60,0.79,0.55,0.76,0
Hugo Gaston,Sumit Nagal,1676,1560,1.00,0.00,0.40,0.40,0.58,0.51,0.52,0.41,1
Tommy Paul,Hubert Hurkacz,1980,1915,1,1,0.8,0.6,0.75,0.67,0.72,0.59,1
Sebastian Baez,Rinky Hijikata,1766,1659,1.00,0.00,0.2,0.4,0.64,0.27,0.47,0.52,0
Brandon Nakashima,Mikhail Kukushkin,1835,1583,1,0,0.6,0.6,0.5,0.58,0.58,0.54,1
Billy Harris,Tallon Griekspoor,1567,1913,0,0,0.2,0.4,0.31,0.59,0.52,0.57,0
Benjamin Hassan,Damir Dzumhur,1543,1708,0,0,0.2,0.6,0.52,0.68,0.51,0.6,1
Terence Atmane,Daniel Elahi Galan,1660,1630,0,1,0.8,0.4,0.5,0.59,0.56,0.57,1
Hugo Grenier,Alexander Shevchenko,1567,1601,1,0,0.4,0.4,0.25,0.42,0.55,0.36,0
Mathias Bourgue,Damir Dzumhur,1424,1708,0,1,0.4,0.6,0.42,0.68,0.53,0.6,0
Nishesh Basavareddy,Rinky Hijikata,1716,1659,0,0,0.6,0.4,0.33,0.27,0.67,0.52,0
Jannik Sinner,Mariano Navone,2210,1755,0,0,1.00,0.6,0.89,0.52,0.93,0.39,1
Alejandro Davidovich Fokina,Jesper De Jong,1912,1668,0,0,0.6,0.6,0.62,0.68,0.58,0.64,0
Francisco Cerundolo,Nicolas Jarry,1950,1729,2,0,0.8,0.6,0.73,0.31,0.63,0.3,1
Ben Shelton,Jaume Munar,1926,1729,1,1,0.6,0.40,0.54,0.52,0.6,0.5,0
Sebastian Korda,Aleksandar Vukic,1884,1670,2,2,0.60,0.8,0.50,0.38,0.63,0.49,1
Jacob Fearnley,Matteo Berrettini,1843,1956,0,0,0.8,0.6,0.64,0.82,0.74,0.67,0
Marcos Giron,Taylor Fritz,1834,2017,1,7,0.60,0.6,0.33,0.58,0.55,0.68,1
Pedro Martinez,Hubert Hurkacz,1685,1915,0,4,0.4,0.60,0.53,0.75,0.41,0.60,0
Matteo Gigante,Jakub Mensik,1625,1951,0,0,0.8,0.8,0.55,0.64,0.53,0.61,0
Tommy Paul,Roberto Bautista Agut,1980,1772,3,3,0.8,0.4,0.75,0.4,0.72,0.49,1
Tomas Machac,Learner Tien,1944,1758,1,0,0.40,0.4,0.56,0.38,0.61,0.77,1
Jannik Sinner,Casper Ruud,2210,1988,2,0,1.00,1.00,0.89,0.81,0.93,0.66,1
Pierre Hugues Herbert,Giovanni Mpetshi Perricard,1652,1772,1,0,0.2,0,0.5,0.5,0.53,0.56,0
Carlos Alcaraz,Lorenzo Musetti,2166,1980,5,1,"0,8","0,8","0,93","0,83","0,83","0,72",1
Tallon Griekspoor,Nikoloz Basilashvili,1913,1618,0,0,"0,6","0,8","0,61","0,59","0,57","0,61",0
Giovanni Mpetshi Perricard,Rinky Hijikata,1772,1659,0,0,"0,4","0,6","0,55","0,33","0,57","0,53",1
Daniel Altmaier,Alexander Bublik,1721,1786,0,0,"0,6","0,8","0,61","0,63","0,53","0,46",0
Camilo Ugo Carabelli,Bu Yunchaokete,1738,1715,0,0,"0,8","0,6","0,7","0,5","0,65","0,57",0
Nicolas Jarry,Alexei Popyrin,1729,1715,2,1,"0,6","0,2","0,31","0,43","0,3","0,52",0
Alexander Bublik,Bu Yunchaokete,1786,1715,0,0,"0,8","0,8","0,65","0,54","0,47","0,57",1
Nuno Borges,Alex Michelsen,1824,1715,1,1,"0,4","0,8","0,58","0,62","0,56","0,62",1
Francisco Cerundolo,Pedro Martinez,1950,1685,2,1,"0,6","0,2","0,73","0,53","0,63","0,41",1
Carlos Alcaraz,Jannik Sinner,2166,2210,7,4,1,1,"0,93","0,91","0,83","0,93",1
Giovanni Mpetshi Perricard,Nikoloz Basilashvili,1772,1618,0,0,"0,6","0,8","0,58","0,6","0,57","0,62",1
Jaume Munar,Quentin Halys,1729,1760,0,1,"0,6","0,2","0,52","0,57","0,5","0,64",0
Jacob Fearnley,Dusan Lajovic,1843,1680,0,0,"0,6","0,6","0,64","0,57","0,74","0,44",1
Sebastian Ofner,Ivan Gakhov,1673,1446,1,0,"0,8","0,8","0,62","0,61","0,58","0,6",1
Kei Nishikori,Learner Tien,1780,1758,0,0,"0,4","0,2","0,58","0,38","0,63","0,77",1
Matteo Arnaldi,Hugo Gaston,1861,1676,0,0,"0,6","0,2","0,5","0,56","0,51","0,51",1
Cameron Norrie,Dominic Stricker,1773,1541,0,0,"0,6","0,6","0,56","0,6","0,5","0,49",1
Zizou Bergs,Marton Fusovics,1814,1777,0,0,"0,4","0,4","0,54","0,47","0,61","0,57",0
Marcos Giron,Roberto Bautista Agut,1834,1772,0,2,"0,4","0,4","0,33","0,4","0,55","0,49",0
Andrey Rublev,Damiz Dzumhur,1895,1708,5,0,"0,4","0,2","0,46","0,68","0,53","0,6",1
Jiri Lehecka,Borna Gojo,1894,1730,0,0,"0,2","0,8","0,25","0,65","0,59","0,61",1
Elias Ymer,Alexandre Muller,1545,1768,3,0,"0,6","0,6","0,47","0,6","0,53","0,55",0
Alexandar Kovacevic,Alexander Zverev,1698,2070,0,0,"0,4","0,8","0,46","0,76","0,51","0,76",0
